"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85363","AZ","85363","=""85363""","68321","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85373","AZ","85373","=""85373""","72063","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85374","AZ","85374","=""85374""","81201","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85375","AZ","85375","=""85375""","63928","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85377","AZ","85377","=""85377""","149167","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85378","AZ","85378","=""85378""","56444","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85379","AZ","85379","=""85379""","110616","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85381","AZ","85381","=""85381""","96746","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85382","AZ","85382","=""85382""","91525","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85383","AZ","85383","=""85383""","145546","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85387","AZ","85387","=""85387""","98757","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85388","AZ","85388","=""85388""","112164","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85390","AZ","85390","=""85390""","68591","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85392","AZ","85392","=""85392""","87702","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85395","AZ","85395","=""85395""","105935","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85396","AZ","85396","=""85396""","114056","2020-2024","2020","Census","Maricopa (County, 2022)"
